"isoform_id","gene_name","p_value","log2fc","fdr"
"ENSMUST00000000260","Gmpr",6.28474616493311e-07,1.94930275238548,0.0225977475479417
"ENSMUST00000164233","Dnaja1",5.54525792084168e-07,0.88952172295555,0.0225977475479417
"ENSMUST00000031002","Man2b2",1.06990592675741e-06,1.6364927954299,0.0256467149703019
"ENSMUST00000003714","Cp",2.57780888452945e-05,2.26692670142517,0.0289932470013624
"ENSMUST00000021907","Fbp2",1.41431566279985e-05,2.45943117599233,0.0289932470013624
"ENSMUST00000021933","Ctsl",3.0789818565663e-05,1.11961883550788,0.0289932470013624
"ENSMUST00000022341","Rtraf",4.12937207830186e-05,0.521351850833291,0.0289932470013624
"ENSMUST00000023502","Snx4",3.88257692296237e-06,0.508584788289934,0.0289932470013624
"ENSMUST00000024851","Ndc80",4.08193232685245e-05,-3.4835172128336,0.0289932470013624
"ENSMUST00000028000","Nuf2",2.6358896523012e-05,-3.85572930436934,0.0289932470013624
"ENSMUST00000028969","Tpx2",1.32246818499217e-05,-3.80269584666527,0.0289932470013624
"ENSMUST00000029694","Arhgef2",2.3977777882287e-05,1.25104962884445,0.0289932470013624
"ENSMUST00000030158","Dctn3",3.41738753075978e-05,0.584291902773607,0.0289932470013624
"ENSMUST00000034742","Ccnb2",3.18240333966828e-05,-3.35159585447598,0.0289932470013624
"ENSMUST00000034881","Cox7a2",3.27257796440571e-05,-0.374136229302293,0.0289932470013624
"ENSMUST00000035977","Ticrr",2.03433350324696e-05,-3.46669940040135,0.0289932470013624
"ENSMUST00000039758","Cox8a",1.93084579897268e-05,-0.436325875117701,0.0289932470013624
"ENSMUST00000042438","Plekhg1",4.11513012400025e-05,1.17932367574865,0.0289932470013624
"ENSMUST00000042646","Atoh8",1.25874883223791e-05,4.62583463893719,0.0289932470013624
"ENSMUST00000042917","Rims2",2.18564316704943e-05,1.6761103241333,0.0289932470013624
"ENSMUST00000044895","Rcan2",2.66791036310763e-05,2.48290000618194,0.0289932470013624
"ENSMUST00000045026","Spag5",3.08535231035784e-05,-2.82499031734555,0.0289932470013624
"ENSMUST00000046941","Rnf122",3.81493793079909e-05,1.48889301420892,0.0289932470013624
"ENSMUST00000047558","Prc1",2.61173652313091e-05,-3.51023479408994,0.0289932470013624
"ENSMUST00000050205","Nudt1",1.7802275956599e-05,-1.05469270743722,0.0289932470013624
"ENSMUST00000056433","Gpr107",2.5364631967783e-05,0.321574015316916,0.0289932470013624
"ENSMUST00000057634","Nrxn3",4.49507752245073e-06,5.61470560436484,0.0289932470013624
"ENSMUST00000064806","Dmbx1",3.34014310276097e-05,-3.95419428596158,0.0289932470013624
"ENSMUST00000071585","Oprl1",2.27129495710896e-05,4.2479268300619,0.0289932470013624
"ENSMUST00000071812","Iqgap3",1.25771046433284e-05,-2.82442835797777,0.0289932470013624
"ENSMUST00000077788","Tnfaip8l1",3.63372057823905e-05,-2.65119617469771,0.0289932470013624
"ENSMUST00000085741","Ttc32",1.03096287524963e-05,0.401929148072964,0.0289932470013624
"ENSMUST00000087114","Cenpq",1.4320486145336e-05,-2.23762295370767,0.0289932470013624
"ENSMUST00000091295","Ccnb1",4.03745277746722e-05,-3.8624964304486,0.0289932470013624
"ENSMUST00000109816","Tpx2",1.65712651800225e-05,-3.77418804409532,0.0289932470013624
"ENSMUST00000110116","Plcb1",3.17140474650408e-05,1.95370631392838,0.0289932470013624
"ENSMUST00000114005","Cacfd1",1.33032370790762e-05,1.1851113763923,0.0289932470013624
"ENSMUST00000115022","Bend7",3.7287842339064e-05,2.32192794434528,0.0289932470013624
"ENSMUST00000115236","Ntm",2.02127942284489e-05,2.52356165810917,0.0289932470013624
"ENSMUST00000117301","Ddr1",3.11084176113191e-05,1.08932836354498,0.0289932470013624
"ENSMUST00000117388","Lnx1",2.93644417758183e-05,2.98935264453382,0.0289932470013624
"ENSMUST00000120539","Lmo4",1.26021697688076e-05,0.661690762844389,0.0289932470013624
"ENSMUST00000123172","Prickle3",3.46824663355862e-05,-1.78135961761823,0.0289932470013624
"ENSMUST00000123330","Gad1",6.03494293794049e-06,5.30985385626293,0.0289932470013624
"ENSMUST00000125939","B4galt3",2.91957392492855e-05,1.99999967539368,0.0289932470013624
"ENSMUST00000127373","Wdr45b",8.04657792507334e-06,-0.771207335280526,0.0289932470013624
"ENSMUST00000127628","Gtpbp6",3.72371095157224e-06,1.30179042384583,0.0289932470013624
"ENSMUST00000128673","Map2",5.1532190365768e-06,1.08350315434941,0.0289932470013624
"ENSMUST00000129204","Dnaja1",6.45262024511682e-06,0.975893382462536,0.0289932470013624
"ENSMUST00000129342","Khdrbs1",2.32830129790408e-05,1.24587383776252,0.0289932470013624
