"gene_name","p_value","log2fc","fdr"
"Ddit4l",1.82125298485556e-06,-2.99344227539596,0.00935229644136965
"Mxra8",1.86894064293407e-06,-4.2922154154489,0.00935229644136965
"Ppic",2.1791936616465e-06,-2.32229749426692,0.00935229644136965
"Sord",2.62760313025768e-06,-1.68083515654741,0.00935229644136965
"Gamt",6.43739565079586e-06,-3.44687238762411,0.0122538795812854
"Idua",6.88565264102572e-06,-1.34685573244124,0.0122538795812854
"Selenop",5.44269663503073e-06,-2.6561650499415,0.0122538795812854
"Vstm2b",5.0064833898622e-06,3.16575530974797,0.0122538795812854
"Blvrb",8.34508635728104e-06,-2.42796088510096,0.0132009993854011
"C1qtnf6",1.24517432652523e-05,-2.71959640424695,0.0139026532840689
"Cryab",1.56242503719255e-05,-2.04216645364636,0.0139026532840689
"Fgf1",1.29745683555063e-05,-1.85414911346632,0.0139026532840689
"Galnt4",1.53114198479691e-05,-2.41427312771966,0.0139026532840689
"Gnpda1",1.28694106317078e-05,-2.0022923302486,0.0139026532840689
"Mettl27",1.42045383177166e-05,-2.60735700959717,0.0139026532840689
"Pcp4l1",1.08537298100585e-05,-4.22733808636369,0.0139026532840689
"Myorg",1.79624290062491e-05,-2.01885898435505,0.0150430059859981
"B2m",2.22100251776569e-05,-2.0287403249444,0.0174680504445797
"Tmem63a",2.33120010147513e-05,-3.83187708022582,0.0174680504445797
"Gbp7",2.65377228176332e-05,-2.05376257446986,0.0180631418199631
"Npc2",2.66436734016453e-05,-1.70229432033233,0.0180631418199631
"Pigk",3.28698668484983e-05,-0.885005369323506,0.0203464475792204
"Yap1",3.24625028786333e-05,-1.1300116666464,0.0203464475792204
"Arpc1b",3.89774718267426e-05,-2.75975356064084,0.0205526765332346
"Crybb3",3.70255724850154e-05,-4.27301712633425,0.0205526765332346
"Hspa4l",3.46613894070367e-05,-0.798796350855904,0.0205526765332346
"Myh14",3.78328280431208e-05,-2.07389810741836,0.0205526765332346
"Aamdc",5.70035996459767e-05,-1.02950292467958,0.0214324774574395
"Acbd4",5.80387369791644e-05,-2.04141989556749,0.0214324774574395
"Actl6b",6.16772655965972e-05,2.55527077587615,0.0214324774574395
"Adipor1",6.15915112879327e-05,-0.993702302607698,0.0214324774574395
"Asah1",6.77433086735112e-05,-1.38813666478837,0.0214324774574395
"Cstb",5.29783845075878e-05,-1.38668169596627,0.0214324774574395
"Dusp18",6.67559661762698e-05,-1.58496248553489,0.0214324774574395
"Hexa",6.47994875913383e-05,-1.84546867777892,0.0214324774574395
"Hexb",5.3753158470868e-05,-1.82312223568376,0.0214324774574395
"Itga1",4.63386853237801e-05,-2.82312209497332,0.0214324774574395
"Phgdh",6.39679972446571e-05,-1.1510228066505,0.0214324774574395
"Sardh",4.94435478985338e-05,-2.75185977469665,0.0214324774574395
"Spata13",6.15485592210261e-05,1.25538723467808,0.0214324774574395
"Tex14",5.55147179318679e-05,-3.6738629377005,0.0214324774574395
"Tmem179b",4.65629723560515e-05,-0.79161005036033,0.0214324774574395
"Tpp1",6.21839141101292e-05,-1.67255208509378,0.0214324774574395
"Vim",4.76429644669095e-05,-2.2882766336433,0.0214324774574395
"Vrk2",5.5908589274238e-05,-1.88496146869545,0.0214324774574395
"Pcgf5",7.07175178862531e-05,-0.915701754699676,0.0218870717857953
"Chst14",7.54417804410457e-05,-2.43063430323863,0.0221951741697487
"Pbxip1",7.41074475163955e-05,-3.03629080264754,0.0221951741697487
"Sesn1",7.63899370877072e-05,-1.14856641732123,0.0221951741697487
"Calm2",8.60129036822294e-05,0.272712596566167,0.0228064360483459
